#File format: word,sPoint,nPoint,yPoint

#Yuri's words
happiness,1,1,3
sadness,1,1,3
death,1,1,3
tragedy,1,1,3
alone,1,1,3
love,1,1,3
adventure,1,1,3
sweet,1,1,3
excitement,1,1,3
fireworks,1,1,3
romance,1,1,3
tears,1,1,3
depression,1,1,3
heart,1,1,3
marriage,1,1,3
passion,1,1,3
childhood,1,1,3
fun,1,1,3
color,1,1,3
hope,1,1,3
friends,1,1,3
family,1,1,3
party,1,1,3
vacation,1,1,3
lazy,1,1,3
daydream,1,1,3
pain,1,1,3
holiday,1,1,3
bed,1,1,3
feather,1,1,3
shame,1,1,3
fear,1,1,3
warm,1,1,3
flower,1,1,3
comfort,1,1,3
dance,1,1,3
sing,1,1,3
cry,1,1,3
laugh,1,1,3
dark,1,1,3
sunny,1,1,3
raincloud,1,1,3
calm,1,1,3
silly,1,1,3
flying,1,1,3
wonderful,1,1,3
unrequited,1,1,3
rose,1,1,3
together,1,1,3
promise,1,1,3
charm,1,1,3
beauty,1,1,3
cheer,1,1,3
smile,1,1,3
broken,1,1,3
precious,1,1,3
prayer,1,1,3
clumsy,1,1,3
forgive,1,1,3
nature,1,1,3
ocean,1,1,3
dazzle,1,1,3
special,1,1,3
music,1,1,3
lucky,1,1,3
misfortune,1,1,3
loud,1,1,3
peaceful,1,1,3
joy,1,1,3
sunset,1,1,3
fireflies,1,1,3
rainbow,1,1,3
hurt,1,1,3
play,1,1,3
sparkle,1,1,3
scars,1,1,3
empty,1,1,3
amazing,1,1,3
grief,1,1,3
embrace,1,1,3
extraordinary,1,1,3
awesome,1,1,3
defeat,1,1,3
hopeless,1,1,3
misery,1,1,3
treasure,1,1,3
bliss,1,1,3
memories,1,1,3
cute,1,1,3
fluffy,1,1,3
pure,1,1,3
candy,1,1,3
shopping,1,1,3
puppy,1,1,3
kitty,1,1,3
clouds,1,1,3
lipstick,1,1,3
parfait,1,1,3
strawberry,1,1,3
pink,1,1,3
chocolate,1,1,3
heartbeat,1,1,3
kiss,1,1,3
melody,1,1,3
ribbon,1,1,3
jumpy,1,1,3
doki-doki,1,1,3
kawaii,1,1,3
skirt,1,1,3
cheeks,1,1,3
email,1,1,3
sticky,1,1,3
bouncy,1,1,3
shiny,1,1,3
nibble,1,1,3
fantasy,1,1,3
sugar,1,1,3
giggle,1,1,3
marshmallow,1,1,3
hop,1,1,3
skipping,1,1,3
peace,1,1,3
spinning,1,1,3
twirl,1,1,3
lollipop,1,1,3
poof,1,1,3
bubbles,1,1,3
whisper,1,1,3
summer,1,1,3
waterfall,1,1,3
swimsuit,1,1,3
vanilla,1,1,3
headphones,1,1,3
games,1,1,3
socks,1,1,3
hair,1,1,3
playground,1,1,3
nightgown,1,1,3
blanket,1,1,3
milk,1,1,3
pout,1,1,3
anger,1,1,3
papa,1,1,3
valentine,1,1,3
mouse,1,1,3
whistle,1,1,3
boop,1,1,3
bunny,1,1,3
anime,1,1,3
jump,1,1,3
determination,1,1,3
suicide,1,1,3
imagination,1,1,3
secretive,1,1,3
vitality,1,1,3
existence,1,1,3
effulgent,1,1,3
crimson,1,1,3
whirlwind,1,1,3
afterimage,1,1,3
vertigo,1,1,3
disoriented,1,1,3
essence,1,1,3
ambient,1,1,3
starscape,1,1,3
disarray,1,1,3
contamination,1,1,3
intellectual,1,1,3
analysis,1,1,3
entropy,1,1,3
vivacious,1,1,3
uncanny,1,1,3
incongruent,1,1,3
wrath,1,1,3
heavensent,1,1,3
massacre,1,1,3
philosophy,1,1,3
fickle,1,1,3
tenacious,1,1,3
aura,1,1,3
unstable,1,1,3
inferno,1,1,3
incapable,1,1,3
destiny,1,1,3
infallible,1,1,3
agonizing,1,1,3
variance,1,1,3
uncontrollable,1,1,3
extreme,1,1,3
flee,1,1,3
dream,1,1,3
disaster,1,1,3
vivid,1,1,3
vibrant,1,1,3
question,1,1,3
fester,1,1,3
judgment,1,1,3
cage,1,1,3
explode,1,1,3
pleasure,1,1,3
lust,1,1,3
sensation,1,1,3
climax,1,1,3
electricity,1,1,3
disown,1,1,3
despise,1,1,3
infinite,1,1,3
eternity,1,1,3
time,1,1,3
universe,1,1,3
unending,1,1,3
raindrops,1,1,3
covet,1,1,3
unrestrained,1,1,3
landscape,1,1,3
portrait,1,1,3
journey,1,1,3
meager,1,1,3
anxiety,1,1,3
frightening,1,1,3
horror,1,1,3
melancholy,1,1,3
insight,1,1,3
atone,1,1,3
breathe,1,1,3
captive,1,1,3
desire,1,1,3
graveyard,1,1,3
